playerID,Player_Name,teamID,Team_Name,leagueID,League_Name,season,Games_Played,Total_Goals,Total_Assists,Total_Shots,Shots_Converted_Perc,Goals_Per_Game
1250,Mohamed Salah,87,Liverpool,1,Premier League,2019,34,19,10,132,14.000000000000002,0.56
1294,Paulo Dybala,98,Juventus,2,Serie A,2015,34,19,9,107,18.0,0.56
1741,Zlatan Ibrahimovic,111,AC Milan,2,Serie A,2019,18,10,5,66,15.0,0.56
2655,Alfred Finnbogason,121,Augsburg,3,Bundesliga,2018,18,10,1,40,25.0,0.56
3344,Casimir Ninga,166,Montpellier,5,Ligue 1,2016,9,5,2,18,28.000000000000004,0.56
227,Robert Lewandowski,117,Bayern Munich,3,Bundesliga,2014,31,17,5,104,16.0,0.55
464,Max Gradel,175,Saint-Etienne,5,Ligue 1,2014,31,17,3,102,17.0,0.55
556,Marcus Rashford,89,Manchester United,1,Premier League,2019,31,17,7,95,18.0,0.55
618,Raheem Sterling,88,Manchester City,1,Premier League,2017,33,18,11,87,21.0,0.55
2251,Gareth Bale,82,Tottenham,1,Premier League,2020,20,11,2,38,28.999999999999996,0.55
2655,Alfred Finnbogason,121,Augsburg,3,Bundesliga,2017,22,12,3,52,23.0,0.55
3747,Boschilia,171,Monaco,5,Ligue 1,2016,11,6,2,20,30.0,0.55
4747,André-Pierre Gignac,164,Marseille,5,Ligue 1,2014,38,21,2,124,17.0,0.55
5222,Joel Pohjanpalo,119,Bayer Leverkusen,3,Bundesliga,2016,11,6,0,18,33.0,0.55
5715,Prejuce Nakoulma,168,Nantes,5,Ligue 1,2016,11,6,0,24,25.0,0.55
755,Jamie Vardy,75,Leicester,1,Premier League,2017,37,20,1,70,28.999999999999996,0.54
1125,Carlos Bacca,138,Sevilla,4,La Liga,2014,37,20,6,69,28.999999999999996,0.54
1230,Fabio Quagliarella,102,Sampdoria,2,Serie A,2017,35,19,6,111,17.0,0.54
1393,Lorenzo Insigne,105,Napoli,2,Serie A,2020,35,19,7,144,13.0,0.54
3210,Wissam Ben Yedder,171,Monaco,5,Ligue 1,2020,37,20,7,81,25.0,0.54
65,Timo Werner,136,RasenBallsport Leipzig,3,Bundesliga,2018,30,16,7,107,15.0,0.53
412,André Hahn,130,Borussia M.Gladbach,3,Bundesliga,2015,15,8,1,26,31.0,0.53
553,Anthony Martial,89,Manchester United,1,Premier League,2019,32,17,6,80,21.0,0.53
